finding_id,detected_type,regex_confidence,value_length,entropy,entropy_level,has_live_prefix,has_test_prefix,looks_like_placeholder,file_role,environment_hint,is_prod_path,is_test_path,is_docs_path,is_config_file,variable_intent,has_secret_variable_name,has_example_language,has_placeholder_language,has_test_language,storage_exposure,asset_criticality,customer_vertical,structurally_valid,luhn_valid,is_known_test_value,is_public_by_design,label,is_true_secret
evenup_finding_0001,phi,medium,5,1.92,low,0,0,0,documentation,docs,0,0,1,0,unknown,0,0,0,1,internal,low,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0002,cloud_key,medium,20,3.68,medium,1,0,0,documentation,docs,0,0,1,0,secret,1,0,0,1,internal,low,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0003,payment_secret,medium,32,4.18,high,0,0,0,documentation,docs,0,0,1,0,secret,1,0,0,1,internal,low,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0004,credit_card,medium,16,1.00,low,0,0,0,documentation,docs,0,0,1,0,unknown,0,0,0,1,internal,low,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0005,email,medium,18,3.53,medium,0,0,1,documentation,docs,0,0,1,0,example,0,1,0,1,internal,low,fintech-legal-hybrid,1,1,1,0,documentation_example,0
evenup_finding_0006,pii,medium,11,2.66,low,0,0,1,documentation,docs,0,0,1,0,example,0,1,0,1,internal,low,fintech-legal-hybrid,1,1,1,0,documentation_example,0
evenup_finding_0007,cloud_key,medium,20,3.68,medium,1,0,0,documentation,docs,0,0,1,0,secret,1,0,0,1,internal,low,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0008,payment_secret,medium,32,4.50,high,0,0,0,documentation,docs,0,0,1,0,secret,1,0,0,1,internal,low,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0009,credit_card,medium,16,1.00,low,0,0,0,documentation,docs,0,0,1,0,unknown,0,0,0,1,internal,low,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0010,email,medium,17,3.41,medium,0,0,1,documentation,docs,0,0,1,0,example,0,1,0,1,internal,low,fintech-legal-hybrid,1,1,1,0,documentation_example,0
evenup_finding_0011,pii,medium,11,2.41,low,0,0,1,documentation,docs,0,0,1,0,example,0,1,0,1,internal,low,fintech-legal-hybrid,1,1,1,0,documentation_example,0
evenup_finding_0012,email,medium,31,4.50,high,0,0,1,sample,docs,0,0,1,0,example,0,1,0,1,internal,low,fintech-legal-hybrid,1,1,0,0,documentation_example,0
evenup_finding_0013,email,medium,31,4.50,high,0,0,1,sample,docs,0,0,1,0,example,0,1,0,1,internal,low,fintech-legal-hybrid,1,1,0,0,documentation_example,0
evenup_finding_0014,email,medium,22,3.66,medium,0,0,1,sample,docs,0,0,1,0,example,0,1,1,1,internal,low,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0015,email,medium,22,3.66,medium,0,0,1,sample,docs,0,0,1,0,example,0,1,1,1,internal,low,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0016,email,medium,22,3.66,medium,0,0,1,sample,docs,0,0,1,0,example,0,1,1,1,internal,low,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0017,cloud_key,high,40,4.72,high,0,0,0,production_config,unknown,0,0,0,0,secret,1,0,0,0,internal,medium,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0018,cloud_key,high,40,4.73,high,0,0,0,production_config,unknown,0,0,0,0,secret,1,0,0,0,internal,medium,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0019,financial,medium,22,0.53,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0020,credit_card,medium,4,0.00,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0021,financial,medium,22,0.53,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0022,credit_card,medium,4,0.00,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0023,financial,medium,22,0.53,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0024,credit_card,medium,4,0.00,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
